method,optim,dataset,dat_per_cls,corrupt_option,severity,Test Accuracy,Test NLL,Test Ece,OOD Accuracy,OOD NLL,OOD ECE,Test Accuracy ts,Test NLL ts,Test Ece ts,BMA Accuracy,BMA NLL,BMA ECE,BMA Accuracy ts,BMA NLL ts,BMA ECE ts,temperature,BMA OOD Accuracy,BMA OOD NLL,BMA OOD ECE
sabma,sabma,cifar10,10,all,1,10.0,6.292692,0.8431475264787676,10.000526315789472,4.297237,0.6250392308291636,,,,66.10000000000001,1.0856442300603586,0.0218873983830683,66.21000000000001,1.170172695946153,0.111553772170585,1.8256891965866089,23.917368421052632,2.9455999111449462,0.3052822741933005
sabma,sabma,cifar10,10,all,2,10.0,6.292692184448242,0.8431475264787676,10.0,4.292041301727295,0.6207783931656887,,,,66.10000000000001,1.0856442300603586,0.0218873983830683,66.21000000000001,1.170172695946153,0.111553772170585,1.8256891965866089,23.481052631578947,2.978683433302429,0.3136069325391436
sabma,sabma,cifar10,10,all,3,10.0,6.292692184448242,0.8431475264787676,10.0,4.284407615661621,0.6173990792362314,,,,66.10000000000001,1.0856442300603586,0.0218873983830683,66.21000000000001,1.170172695946153,0.111553772170585,1.8256891965866089,23.30842105263158,3.0126961478586693,0.3207932148282054
sabma,sabma,cifar10,10,all,4,10.0,6.292692184448242,0.8431475264787676,10.00263157894737,4.277462005615234,0.6148339118217168,,,,66.10000000000001,1.0856442300603586,0.0218873983830683,66.21000000000001,1.170172695946153,0.111553772170585,1.8256891965866089,22.882631578947368,3.048684288221765,0.3244508699663393
sabma,sabma,cifar10,10,all,5,10.0,6.292692184448242,0.8431475264787676,10.005263157894737,4.26386022567749,0.6114224056883861,,,,66.10000000000001,1.0856442300603586,0.0218873983830683,66.21000000000001,1.170172695946153,0.111553772170585,1.8256891965866089,22.34842105263158,3.1008351905548106,0.328957877549602
sabma,sabma,cifar10,10,all,1,10.489999999999998,4.611750602722168,0.3032422334253788,11.57421052631579,4.974163055419922,0.3593334260143732,,,,60.48,1.2241697351323129,0.0307748200838432,60.62,1.282793390254651,0.0515527552475798,1.7694891691207886,17.233684210526317,3.5142618538362416,0.3847791069947712
sabma,sabma,cifar10,10,all,2,10.489999999999998,4.611750602722168,0.3032422334253788,11.521052631578948,4.975711345672607,0.3587161739227019,,,,60.48,1.2241697351323129,0.0307748200838432,60.62,1.282793390254651,0.0515527552475798,1.7694891691207886,16.745789473684212,3.582146875641919,0.3901636045495106
sabma,sabma,cifar10,10,all,3,10.489999999999998,4.611750602722168,0.3032422334253788,11.410526315789474,4.981018543243408,0.3607911247755351,,,,60.48,1.2241697351323129,0.0307748200838432,60.62,1.282793390254651,0.0515527552475798,1.7694891691207886,16.558947368421055,3.675785285623616,0.4020552448867673
sabma,sabma,cifar10,10,all,4,10.489999999999998,4.611750602722168,0.3032422334253788,11.420526315789472,4.98063325881958,0.3601847670297874,,,,60.48,1.2241697351323129,0.0307748200838432,60.62,1.282793390254651,0.0515527552475798,1.7694891691207886,16.342105263157894,3.7462878957870354,0.4074099045903054
sabma,sabma,cifar10,10,all,5,10.489999999999998,4.611750602722168,0.3032422334253788,11.268947368421053,4.983151912689209,0.3612510958335901,,,,60.48,1.2241697351323129,0.0307748200838432,60.62,1.282793390254651,0.0515527552475798,1.7694891691207886,15.842631578947367,3.845146107263304,0.4150942726714505
sabma,sabma,cifar10,10,all,1,10.27,2.959381580352783,0.4452780621647835,19.138947368421054,2.392421007156372,0.1528250182474914,,,,61.34,1.2260935955891206,0.0329222215110949,59.67,1.219974795771921,0.0594984945556757,1.7861264944076538,20.114736842105263,3.224543710227599,0.3226156776829482
sabma,sabma,cifar10,10,all,2,10.27,2.959381580352783,0.4452780621647835,18.909473684210525,2.391378879547119,0.1455693767328011,,,,61.34,1.2260935955891206,0.0329222215110949,59.67,1.219974795771921,0.0594984945556757,1.7861264944076538,20.178947368421053,3.1971600860096974,0.3211924981525427
sabma,sabma,cifar10,10,all,3,10.27,2.959381580352783,0.4452780621647835,18.71526315789474,2.3932199478149414,0.1458392574882821,,,,61.34,1.2260935955891206,0.0329222215110949,59.67,1.219974795771921,0.0594984945556757,1.7861264944076538,20.49315789473684,3.1914247106331928,0.3232046988445461
sabma,sabma,cifar10,10,all,4,10.27,2.959381580352783,0.4452780621647835,18.49736842105263,2.403471231460572,0.1453960699142594,,,,61.34,1.2260935955891206,0.0329222215110949,59.67,1.219974795771921,0.0594984945556757,1.7861264944076538,20.184736842105263,3.224357842168357,0.3297869764916948
sabma,sabma,cifar10,10,all,5,10.27,2.959381580352783,0.4452780621647835,18.11684210526316,2.416740894317627,0.1443380120589545,,,,61.34,1.2260935955891206,0.0329222215110949,59.67,1.219974795771921,0.0594984945556757,1.7861264944076538,19.91684210526316,3.2426100078033584,0.3357817677713983
dnn,sgd,cifar100,10,all,1,43.91,2.136220932006836,0.0254882739454507,4.816315789473684,4.297464847564697,0.0139224757212949,43.91,2.207032,0.1086996420711279,,,,,,,1.205078125,,,
dnn,sgd,cifar100,10,all,2,43.91,2.136220932006836,0.0254882739454507,4.689473684210526,4.313754558563232,0.0129109277685417,43.91,2.2070319652557373,0.1086996420711279,,,,,,,1.205078125,,,
dnn,sgd,cifar100,10,all,3,43.91,2.136220932006836,0.0254882739454507,4.74421052631579,4.307140350341797,0.013424935238279,43.91,2.2070319652557373,0.1086996420711279,,,,,,,1.205078125,,,
